date,Python programming,Data Science,Machine Learning,isPartial
2025-02-04,10,76,71,False
2025-02-05,10,75,72,False
2025-02-06,10,70,69,False
2025-02-07,9,72,63,False
2025-02-08,8,69,79,False
2025-02-09,7,54,54,False
2025-02-10,9,73,82,False
2025-02-11,12,75,73,False
2025-02-12,10,71,75,False
2025-02-13,10,67,74,False
2025-02-14,9,64,74,False
2025-02-15,10,66,87,False
2025-02-16,9,51,65,False
2025-02-17,11,63,79,False
2025-02-18,10,74,77,False
2025-02-19,10,75,75,False
2025-02-20,10,74,79,False
2025-02-21,10,72,81,False
2025-02-22,10,80,100,False
2025-02-23,8,59,66,False
2025-02-24,10,75,77,False
2025-02-25,10,77,78,False
2025-02-26,9,75,72,False
2025-02-27,10,73,75,False
2025-02-28,9,64,69,False
2025-03-01,8,64,77,False
2025-03-02,8,59,66,False
2025-03-03,9,71,70,False
2025-03-04,9,70,68,True
